subject,roi,metric,mean,median,std,n
102614,WM,MK,1.0910630226135254,1.052367091178894,0.43618980050086975,24968
102614,WM,alpha_persistence,2.179569721221924,2.2033278942108154,0.2366916388273239,24968
102614,GM,FA,0.17053300142288208,0.1530672013759613,0.09177721291780472,79050
102614,GM,MD,0.0006971444236114621,0.000653786351904273,0.0002608471259009093,79050
102614,GM,MK,0.7361142635345459,0.6861050724983215,0.34426939487457275,79050
102614,GM,alpha_persistence,1.881168007850647,1.8711400032043457,0.19525271654129028,79050
102614,CSF,FA,0.057793471962213516,0.05418217182159424,0.023369476199150085,3132
102614,CSF,MD,0.0016502022044733167,0.0016749787610024214,0.00028633541660383344,3132
102614,CSF,MK,0.42797282338142395,0.4076559543609619,0.06506481766700745,3132
102614,CSF,alpha_persistence,1.7415934801101685,1.7336230278015137,0.12553061544895172,3132
102614,CC,FA,0.762825071811676,0.7582840919494629,0.09843181073665619,844
102614,CC,MD,0.00045516478712670505,0.0004928321577608585,0.0001567630097270012,844
102614,CC,MK,1.1207365989685059,1.1686270236968994,0.5309179425239563,844
102614,CC,alpha_persistence,2.295531988143921,2.305107593536377,0.3494603931903839,844
102715,WM,FA,0.5574039816856384,0.5329881906509399,0.11899055540561676,28157
102715,WM,MD,0.0005217004218138754,0.0005406014970503747,0.00013900043268222362,28157
102715,WM,MK,1.0376348495483398,1.0230225324630737,0.36956021189689636,28157
102715,WM,alpha_persistence,2.156480312347412,2.1766257286071777,0.2503989338874817,28157
102715,GM,FA,0.16934533417224884,0.14923273026943207,0.09461970627307892,85720
102715,GM,MD,0.0007150071323849261,0.000662737525999546,0.000278825027635321,85720
102715,GM,MK,0.7213975787162781,0.6769540905952454,0.34067416191101074,85720
102715,GM,alpha_persistence,1.8314286470413208,1.8251256942749023,0.21795877814292908,85720
102715,CSF,FA,0.058465857058763504,0.05490130931138992,0.024049479514360428,3034
102715,CSF,MD,0.001716027269139886,0.0017588663613423705,0.00031999783823266625,3034
102715,CSF,MK,0.4228709042072296,0.40120625495910645,0.06689237058162689,3034
102715,CSF,alpha_persistence,1.6786887645721436,1.6691720485687256,0.14271250367164612,3034
102715,CC,FA,0.7439163327217102,0.7377972602844238,0.09210517257452011,900
102715,CC,MD,0.0004658401885535568,0.0004991216701455414,0.00015318924852181226,900
102715,CC,MK,1.125383734703064,1.1445059776306152,0.5129732489585876,900
102715,CC,alpha_persistence,2.290907621383667,2.3293745517730713,0.3369736969470978,900
102816,WM,FA,0.5650165677070618,0.5363645553588867,0.1283065676689148,22408
102816,WM,MD,0.0004950749571435153,0.0005240773316472769,0.0001472557632951066,22408
102816,WM,MK,1.0839372873306274,1.0462079048156738,0.45372486114501953,22408
102816,WM,alpha_persistence,2.1969120502471924,2.221454620361328,0.27308279275894165,22408
102816,GM,FA,0.17866818606853485,0.16181668639183044,0.09210909157991409,64216
102816,GM,MD,0.0006583359208889306,0.0006415610550902784,0.0002214945707237348,64216
102816,GM,MK,0.7512611150741577,0.7022335529327393,0.34693270921707153,64216
102816,GM,alpha_persistence,1.8789969682693481,1.882458209991455,0.22402577102184296,64216
102816,CSF,FA,0.07193680852651596,0.0689253956079483,0.026588473469018936,2412
102816,CSF,MD,0.0015088582877069712,0.0015008937334641814,0.0002587492926977575,2412
102816,CSF,MK,0.4405166208744049,0.42152583599090576,0.06732523441314697,2412
102816,CSF,alpha_persistence,1.7383688688278198,1.7280347347259521,0.16975370049476624,2412
102816,CC,FA,0.7783772349357605,0.7858527898788452,0.1008046343922615,925
102816,CC,MD,0.0004508420533966273,0.0004986573476344347,0.00018451918731443584,925
102816,CC,MK,1.0580015182495117,1.147965669631958,0.5858064889907837,925
102816,CC,alpha_persistence,2.2697103023529053,2.321525812149048,0.4251323640346527,925
103010,WM,FA,0.5603283047676086,0.5339657664299011,0.1232479065656662,22180
103010,WM,MD,0.0005212195101194084,0.0005482025444507599,0.0001499682548455894,22180
103010,WM,MK,1.0545620918273926,1.0161612033843994,0.42174649238586426,22180
103010,WM,alpha_persistence,1.9520902633666992,1.9479812383651733,0.34425756335258484,22179
103010,GM,FA,0.16587133705615997,0.14737223088741302,0.09289585798978806,78781
103010,GM,MD,0.0007151126628741622,0.0006655350443907082,0.0002702762430999428,78781
103010,GM,MK,0.7154421806335449,0.6759517192840576,0.3320007026195526,78781
103010,GM,alpha_persistence,1.6205286979675293,1.599959135055542,0.3096764385700226,78780
103010,CSF,FA,0.057330261915922165,0.05339120328426361,0.02413972094655037,2683
103010,CSF,MD,0.0016648261807858944,0.0017095428192988038,0.0003196599136572331,2683
103010,CSF,MK,0.4297178089618683,0.4068184196949005,0.06892424821853638,2683
103010,CSF,alpha_persistence,1.5156171321868896,1.5566797256469727,0.2768654525279999,2683
103010,CC,FA,0.7673498392105103,0.7646051645278931,0.10697153210639954,684
103010,CC,MD,0.0004399784083943814,0.0005175364203751087,0.00021655892487615347,684
103010,CC,MK,1.064153790473938,1.1218611001968384,0.6246432662010193,684
103010,CC,alpha_persistence,2.046590566635132,2.0459413528442383,0.39351481199264526,684
103111,WM,FA,0.5570010542869568,0.5323980450630188,0.12020842730998993,25581
103111,WM,MD,0.0004986120038665831,0.0005222719046287239,0.00014287015073932707,25581
103111,WM,MK,1.0552982091903687,1.0341837406158447,0.4228966534137726,25581
103111,WM,alpha_persistence,2.1920547485351562,2.2152774333953857,0.2517828047275543,25581
103111,GM,FA,0.17571116983890533,0.15830369293689728,0.09185995161533356,82832
103111,GM,MD,0.000695011462084949,0.0006454953108914196,0.000283032568404451,82832
103111,GM,MK,0.7199303507804871,0.6832404136657715,0.36724087595939636,82832
103111,GM,alpha_persistence,1.871355414390564,1.8709526062011719,0.21233078837394714,82832
103111,CSF,FA,0.07428830116987228,0.07128380984067917,0.029892077669501305,2397
103111,CSF,MD,0.001660187030211091,0.00168991566170007,0.0003750627802219242,2397
103111,CSF,MK,0.4376192092895508,0.4152945280075073,0.0770089253783226,2397
103111,CSF,alpha_persistence,1.7260181903839111,1.7128016948699951,0.16397535800933838,2397
103111,CC,FA,0.7639806866645813,0.7587575316429138,0.10468728840351105,878
103111,CC,MD,0.00040251450263895094,0.0004864603979513049,0.00020989947370253503,878
103111,CC,MK,1.0671199560165405,1.1353003978729248,0.7295886278152466,878
103111,CC,alpha_persistence,2.203892946243286,2.270833730697632,0.3817442059516907,878
103212,WM,FA,0.569241464138031,0.5447288155555725,0.1253238171339035,22633
103212,WM,MD,0.0004865890950895846,0.0005133306258358061,0.0001449743431294337,22633
